study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB18629	SAMEA103911542	ERS1600710	ERX1943904	ERR1883403	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/003/ERR1883403/ERR1883403_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883403/R9546.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883403/R9546.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883403/R9546.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883403/R9546.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883403	ftp.sra.ebi.ac.uk/vol1/err/ERR188/003/ERR1883403		
PRJEB18629	SAMEA103911543	ERS1600711	ERX1943905	ERR1883404	749907	sediment metagenome	Illumina HiSeq 2500	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/004/ERR1883404/ERR1883404_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883404/R9547.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883404/R9547.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883404/R9547.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883404/R9547.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883404	ftp.sra.ebi.ac.uk/vol1/err/ERR188/004/ERR1883404		
PRJEB18629	SAMEA103911544	ERS1600712	ERX1943906	ERR1883405	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/005/ERR1883405/ERR1883405_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883405/R8512.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883405/R8512.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883405/R8512.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883405/R8512.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883405	ftp.sra.ebi.ac.uk/vol1/err/ERR188/005/ERR1883405		
PRJEB18629	SAMEA103911545	ERS1600713	ERX1943907	ERR1883406	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/006/ERR1883406/ERR1883406_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883406/R8513.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883406/R8513.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883406/R8513.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883406/R8513.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883406	ftp.sra.ebi.ac.uk/vol1/err/ERR188/006/ERR1883406		
PRJEB18629	SAMEA103911546	ERS1600714	ERX1943908	ERR1883407	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/007/ERR1883407/ERR1883407_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883407/R8515.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883407/R8515.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883407/R8515.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883407/R8515.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883407	ftp.sra.ebi.ac.uk/vol1/err/ERR188/007/ERR1883407		
PRJEB18629	SAMEA103911547	ERS1600715	ERX1943909	ERR1883408	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/008/ERR1883408/ERR1883408_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883408/R8516.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883408/R8516.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883408/R8516.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883408/R8516.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883408	ftp.sra.ebi.ac.uk/vol1/err/ERR188/008/ERR1883408		
PRJEB18629	SAMEA103911548	ERS1600716	ERX1943910	ERR1883409	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/009/ERR1883409/ERR1883409_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883409/R8517.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883409/R8517.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883409/R8517.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883409/R8517.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883409	ftp.sra.ebi.ac.uk/vol1/err/ERR188/009/ERR1883409		
PRJEB18629	SAMEA103911549	ERS1600717	ERX1943911	ERR1883410	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/000/ERR1883410/ERR1883410_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883410/R8518.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883410/R8518.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883410/R8518.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883410/R8518.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883410	ftp.sra.ebi.ac.uk/vol1/err/ERR188/000/ERR1883410		
PRJEB18629	SAMEA103911550	ERS1600718	ERX1943912	ERR1883411	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/001/ERR1883411/ERR1883411_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883411/R8519.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883411/R8519.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883411/R8519.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883411/R8519.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883411	ftp.sra.ebi.ac.uk/vol1/err/ERR188/001/ERR1883411		
PRJEB18629	SAMEA103911551	ERS1600719	ERX1943913	ERR1883412	749907	sediment metagenome	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/002/ERR1883412/ERR1883412_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883412/R8520.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883412/R8520.bam.bai	ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883412/R8520.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR188/ERR1883412/R8520.bam.bai	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883412	ftp.sra.ebi.ac.uk/vol1/err/ERR188/002/ERR1883412		
