Taxon	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_265	VatanenT_2016.metaphlan_bugs_list.stool:G80343	NielsenHB_2014.metaphlan_bugs_list.stool:MH0039	LiJ_2014.metaphlan_bugs_list.stool:O2.UC37-1	ChengpingW_2017.metaphlan_bugs_list.stool:AS96raw	LouisS_2016.metaphlan_bugs_list.stool:AS64_3	HMP_2012.metaphlan_bugs_list.stool:SRS014613	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC31_0	NielsenHB_2014.metaphlan_bugs_list.stool:MH0146	ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ55C_17	VogtmannE_2016.metaphlan_bugs_list.stool:MMRS59699117ST-27-0-0	BackhedF_2015.metaphlan_bugs_list.stool:SID622_M	LiSS_2016.metaphlan_bugs_list.stool:FAT_015-22-0-0	LiJ_2017.metaphlan_bugs_list.stool:H3M516909	QinJ_2012.metaphlan_bugs_list.stool:T2D-005	VincentC_2016.metaphlan_bugs_list.stool:MM094.2	LoombaR_2017.metaphlan_bugs_list.stool:SID1019_aas	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_346	BackhedF_2015.metaphlan_bugs_list.stool:SID18_12M	NielsenHB_2014.metaphlan_bugs_list.stool:V1_UC50_1	BackhedF_2015.metaphlan_bugs_list.stool:SID7_4M	JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142139	BackhedF_2015.metaphlan_bugs_list.stool:SID70_12M	KarlssonFH_2013.metaphlan_bugs_list.stool:S353	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC2_0	VatanenT_2016.metaphlan_bugs_list.stool:G78843	LiSS_2016.metaphlan_bugs_list.stool:FAT_012-22-42-0	VatanenT_2016.metaphlan_bugs_list.stool:G69160	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_596	FengQ_2015.metaphlan_bugs_list.stool:SID530315	XieH_2016.metaphlan_bugs_list.stool:YSZC12003_35550	NielsenHB_2014.metaphlan_bugs_list.stool:O2_UC29_2	MatsonV_2018.metaphlan_bugs_list.stool:SAM_14	ZeeviD_2015.metaphlan_bugs_list.stool:PNP_Main_704	VogtmannE_2016.metaphlan_bugs_list.stool:MMRS40913371ST-27-0-0	LiJ_2017.metaphlan_bugs_list.stool:H2M514108	JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142184	BackhedF_2015.metaphlan_bugs_list.stool:SID276_4M	LeChatelierE_2013.metaphlan_bugs_list.stool:MH0114	ChengpingW_2017.metaphlan_bugs_list.stool:AS109raw	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A029-11-90-0	PasolliE_2018.metaphlan_bugs_list.stool:V12_01_2FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A004-11-0-0	RampelliS_2015.metaphlan_bugs_list.stool:H24	BritoIL_2016.metaphlan_bugs_list.stool:W1.21.ST	PasolliE_2018.metaphlan_bugs_list.stool:A48_01_1FE	PehrssonE_2016.metaphlan_bugs_list.stool:SID08I_170	PasolliE_2018.metaphlan_bugs_list.stool:V31_01_2FE	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20244-GH	BritoIL_2016.metaphlan_bugs_list.stool:WL.32.ST	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20647-TZ	BritoIL_2016.metaphlan_bugs_list.stool:W1.22.ST	PasolliE_2018.metaphlan_bugs_list.stool:A91_01_1FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A058-11-90-0	PasolliE_2018.metaphlan_bugs_list.stool:A91_02_1FE	Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:SM11	BritoIL_2016.metaphlan_bugs_list.stool:W1.38.ST	SmitsSA_2017.metaphlan_bugs_list.stool:TZ_39371	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20473-TZ	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B037-11-0-0	BritoIL_2016.metaphlan_bugs_list.stool:W1.6.ST	BritoIL_2016.metaphlan_bugs_list.stool:W2.19.ST	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20275-GH	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B046-11-0-0	Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:SM25	SmitsSA_2017.metaphlan_bugs_list.stool:TZ_21618	RampelliS_2015.metaphlan_bugs_list.stool:H20	TettAJ_2019_a.metaphlan_bugs_list.stool:C16-20374-TZ	LiuW_2016.metaphlan_bugs_list.stool:SRR3992994	CosteaPI_2017.metaphlan_bugs_list.stool:SID713B030-11-0-0	BritoIL_2016.metaphlan_bugs_list.stool:M1.57.ST	BritoIL_2016.metaphlan_bugs_list.stool:M1.65.ST	PasolliE_2018.metaphlan_bugs_list.stool:A89_02_1FE	CosteaPI_2017.metaphlan_bugs_list.stool:SID713A076-11-0-0	PasolliE_2018.metaphlan_bugs_list.stool:A42_02_1FE	PehrssonE_2016.metaphlan_bugs_list.stool:SID240301	TettAJ_2019_c.metaphlan_bugs_list.stool:CM_D26_M0_18	TettAJ_2019_b.metaphlan_bugs_list.stool:C16-20049-GH	PehrssonE_2016.metaphlan_bugs_list.stool:SID09E_519	PehrssonE_2016.metaphlan_bugs_list.stool:SID08C_021	Lib4_3	Lib4_7	s_02	Lib3_6	Lib4_6	Lib4_1	Lib4_4	Lib4_8	Lib4_5	Lib4_2	Lib3_9	ERR1883623	ERR1883556	ERR1883448	ERR1883403	ERR1883529	ERR1883543	ERR1883460	ERR1883427	ERR1883665	ERR1883811	ERR1883583	ERR1883612	ERR1883540	ERR1883784	ERR1883598	ERR1883642	ERR1883482	ERR1883511	ERR1883479	ERR1883794	ERR1883647	ERR1883476	ERR1883551	ERR1883418	ERR1883689	ERR1883810	ERR1883473	ERR1883519	ERR1883661	ERR1883475	ERR1883710	ERR1883406	ERR1883584	ERR1883601	ERR1883726	ERR1883713	ERR1883408	ERR1883740	Lib4_10	Lib4_11	Lib4_12	CBA001	ECO004	DRL001	BRF001	TRO001	LEI010	MLP001	CMN001
k__Archaea	1684	0	3968	0	216438	0	0	617964	0	2900730	0	181279	3710	0	0	0	0	11427	0	9237068	0	0	0	0	0	0	172717	0	0	1901	789872	2897342	3861	4242	0	0	0	0	0	0	0	5500	2430526	56576	0	303808	839917	0	0	0	982900	1062763	343633	0	0	6987631	30541	1151611	2031052	0	4521	1120378	0	721850	1227	1008493	549680	64709	0	784	208664	170504	187643	74892	0	0	81574	53406	0	0	817276	78761	25776213	37123	1767970	7654998	2452154	104488	72376	323641	26196778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14518	0	104134	0	21107	3991034	0	0	0
k__Archaea|p__Euryarchaeota	1684	0	3968	0	216438	0	0	617964	0	2900730	0	181279	3710	0	0	0	0	11427	0	9237068	0	0	0	0	0	0	172717	0	0	1901	789872	2897342	3861	4242	0	0	0	0	0	0	0	5500	2430526	56576	0	303808	839917	0	0	0	982900	1062763	343633	0	0	6987631	30541	1151611	2031052	0	4521	1120378	0	721850	1227	1008493	549680	64709	0	784	208664	170504	187643	74892	0	0	81574	53406	0	0	817276	78761	25776213	37123	1767970	7654998	2452154	104488	72376	323641	26196778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14518	0	0	0	21107	3496651	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria	1684	0	2401	0	216438	0	0	617964	0	2900730	0	181279	3710	0	0	0	0	11427	0	9237068	0	0	0	0	0	0	172717	0	0	1901	789872	2897342	3861	4242	0	0	0	0	0	0	0	5500	2430526	56576	0	303808	839917	0	0	0	982900	1062763	343633	0	0	6982052	30541	1151611	2031052	0	4521	1120378	0	721850	1227	1008493	549680	64709	0	784	208664	167748	187643	74892	0	0	81574	53406	0	0	817276	59565	25776213	37123	1767970	7654998	2452154	0	72376	323641	26196778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14518	0	0	0	21107	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	1684	0	2401	0	216438	0	0	617964	0	2900730	0	181279	3710	0	0	0	0	11427	0	9237068	0	0	0	0	0	0	172717	0	0	1901	789872	2897342	3861	4242	0	0	0	0	0	0	0	5500	2430526	56576	0	303808	839917	0	0	0	982900	1062763	343633	0	0	6982052	30541	1151611	2031052	0	4521	1120378	0	721850	1227	1008493	549680	64709	0	784	208664	167748	187643	74892	0	0	81574	53406	0	0	817276	59565	25776213	37123	1767970	7654998	2452154	0	72376	323641	26196778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14518	0	0	0	21107	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	1684	0	2401	0	216438	0	0	617964	0	2900730	0	181279	3710	0	0	0	0	11427	0	9237068	0	0	0	0	0	0	172717	0	0	1901	789872	2897342	3861	4242	0	0	0	0	0	0	0	5500	2430526	56576	0	303808	839917	0	0	0	982900	1062763	343633	0	0	6982052	30541	1151611	2031052	0	4521	1120378	0	721850	1227	1008493	549680	64709	0	784	208664	167748	187643	74892	0	0	81574	53406	0	0	817276	59565	25776213	37123	1767970	7654998	2452154	0	72376	323641	26196778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14518	0	0	0	21107	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter	1684	0	2401	0	216438	0	0	543366	0	2900730	0	181279	3710	0	0	0	0	11427	0	9237068	0	0	0	0	0	0	172717	0	0	1901	789872	2897342	3861	2100	0	0	0	0	0	0	0	0	2288246	56576	0	303808	815556	0	0	0	808078	670791	343633	0	0	6982052	18673	1151611	2022857	0	4521	1120378	0	721850	1227	1008493	549680	0	0	784	131574	167748	187643	72214	0	0	56968	53406	0	0	817276	18462	25776213	30155	1765626	6529545	2113540	0	71489	299399	26182196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14518	0	0	0	21107	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii	1684	0	2401	0	216438	0	0	425933	0	2585937	0	62192	741	0	0	0	0	11427	0	9237068	0	0	0	0	0	0	123604	0	0	1557	789872	2897342	3861	877	0	0	0	0	0	0	0	0	2288246	56576	0	272464	466139	0	0	0	528797	562605	288254	0	0	6982052	18673	1151611	1625643	0	4521	1120378	0	656123	0	1008493	549680	0	0	0	109696	167748	79260	72214	0	0	23149	53406	0	0	682301	9513	25776213	30155	1346665	3615102	1465709	0	32393	299399	26182196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_smithii|t__Methanobrevibacter_smithii_unclassified	1684	0	2401	0	216438	0	0	425933	0	2585937	0	62192	741	0	0	0	0	11427	0	9237068	0	0	0	0	0	0	123604	0	0	1557	789872	2897342	3861	877	0	0	0	0	0	0	0	0	2288246	56576	0	272464	466139	0	0	0	528797	562605	288254	0	0	6982052	18673	1151611	1625643	0	4521	1120378	0	656123	0	1008493	549680	0	0	0	109696	167748	79260	72214	0	0	23149	53406	0	0	682301	9513	25776213	30155	1346665	3615102	1465709	0	32393	299399	26182196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae|g__Methanobrevibacter|s__Methanobrevibacter_unclassified	0	0	0	0	0	0	0	117433	0	314794	0	119090	2963	0	0	0	0	0	0	0	0	0	0	0	0	0	49113	0	0	344	0	0	0	1223	0	0	0	0	0	0	0	0	0	0	0	31344	349417	0	0	0	279280	108186	55383	0	0	0	0	0	397214	0	0	0	0	65733	1227	0	0	0	0	784	21879	0	108383	0	0	0	33825	0	0	0	134974	8948	0	0	418960	2914442	647830	0	39096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14518	0	0	0	21107	0	0	0	0
k__Bacteria	30791437	34027498	42700343	93568024	46643834	23014264	109953562	61969008	57590023	68372734	46687897	35404025	62472264	40154561	36482292	5457559	24230457	25002464	34162752	59728100	29024820	61343510	54560227	24580397	56494025	21903429	56803333	17537896	67078682	40964576	88825466	50747602	38666452	38450676	74920398	43780635	61494490	37293408	61632720	34808742	57850995	80640193	75101645	64682762	114445492	12109357	23985614	87537096	48449322	92383100	61153975	97250686	42775919	73343499	30204135	61070134	95289681	2175774	65918683	79419677	117690381	122441884	27801913	58503368	63885980	2630827	22077804	35807054	40329806	41416205	111645726	111398729	58146160	61977529	36390197	7344580	59528649	44321755	6077614	3637657	248367825	271051258	893351424	557036337	337796238	208648089	498304884	274236907	259249071	233155092	337941171	0	0	0	0	0	0	0	84972	0	0	0	0	0	0	0	0	0	0	1265880	0	0	0	0	880232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	328797039	407841257	293121948	17209108	17822197	14959075	18426031	15740372	10862869	10564919	15278430
