#SampleID	Metaphlan2_Analysis
k__Bacteria	100.0
k__Bacteria|p__Proteobacteria	70.34713
k__Bacteria|p__Acidobacteria	17.04578
k__Bacteria|p__Actinobacteria	9.88977
k__Bacteria|p__Deinococcus_Thermus	2.71733
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	35.97455
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	34.37258
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	17.04578
k__Bacteria|p__Actinobacteria|c__Actinobacteria	9.88977
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci	2.71733
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales	21.15524
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	17.04578
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales	14.98779
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	13.21734
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	11.71591
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales	9.27085
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales	5.69619
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	4.19357
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales	2.71733
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae	21.15524
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	17.04578
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	14.98779
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Sinobacteraceae	10.99184
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	9.27085
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae	8.88579
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales|f__Solirubrobacterales_unclassified	5.69619
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae	2.83012
k__Bacteria|p__Deinococcus_Thermus|c__Deinococci|o__Deinococcales|f__Deinococcaceae	2.71733
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales|f__Xanthomonadaceae	2.2255
