#SampleID	Metaphlan2_Analysis
k__Bacteria	79.77319
k__Archaea	20.22681
k__Bacteria|p__Actinobacteria	29.83886
k__Bacteria|p__Acidobacteria	20.55698
k__Bacteria|p__Proteobacteria	20.52449
k__Archaea|p__Euryarchaeota	17.72125
k__Bacteria|p__Firmicutes	8.85286
k__Archaea|p__Thaumarchaeota	2.50557
k__Bacteria|p__Actinobacteria|c__Actinobacteria	29.83886
k__Bacteria|p__Acidobacteria|c__Acidobacteriia	20.55698
k__Archaea|p__Euryarchaeota|c__Methanomicrobia	17.72125
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	10.34326
k__Bacteria|p__Firmicutes|c__Clostridia	8.85286
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	4.73113
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	3.33603
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname	2.50557
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2.11408
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	20.55698
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	13.80165
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales	12.12653
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales	11.829
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	8.85286
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales	6.3135
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales	5.59472
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales	4.73113
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales	4.20821
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales	3.33603
k__Archaea|p__Thaumarchaeota|c__Thaumarchaeota_noname|o__Nitrosopumilales	2.50557
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Xanthomonadales	2.45482
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales	2.11408
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Chromatiales	1.57494
k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	20.55698
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	13.80165
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanosarcinales|f__Methanosaetaceae	12.12653
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae	6.3135
k__Archaea|p__Euryarchaeota|c__Methanomicrobia|o__Methanomicrobiales|f__Methanoregulaceae	5.59472
