,Taxon,CBA001,ECO004_D0101_SG1_1_S0,DRL001,BRF001,TRO001,LEI010,MLP001,CMN001
0,k__Bacteria,17209108.0,17822197.0,14959075.0,18426031.0,15740372.0,10862869.0,10564919.0,15278430.0
1,k__Bacteria|p__Actinobacteria,9142336.0,4957632.0,1479418.0,16817002.0,5887626.0,625525.0,363890.0,5546261.0
2,k__Bacteria|p__Proteobacteria,7712525.0,9931609.0,10523279.0,1241700.0,4049770.0,10237343.0,8398476.0,9363784.0
3,k__Bacteria|p__Acidobacteria,354246.0,2633128.0,2549891.0,262652.0,4056181.0,0.0,0.0,368384.0
4,k__Bacteria|p__Actinobacteria|c__Actinobacteria,9142336.0,4957632.0,1479418.0,16817002.0,5887626.0,625525.0,363890.0,5546261.0
5,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria,4906771.0,3714703.0,5381459.0,352174.0,933518.0,571127.0,0.0,7928861.0
6,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,2805754.0,1313858.0,0.0,183820.0,417137.0,6324238.0,7601863.0,1236964.0
7,k__Bacteria|p__Acidobacteria|c__Acidobacteriia,354246.0,2633128.0,2549891.0,262652.0,4056181.0,0.0,0.0,368384.0
8,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,6568658.0,2343422.0,627319.0,16517761.0,2334028.0,625525.0,363890.0,4033803.0
9,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales,4139410.0,3714703.0,1752591.0,352174.0,933518.0,0.0,0.0,6768210.0
10,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales,2805754.0,1313858.0,0.0,0.0,0.0,6324238.0,7601863.0,1236964.0
11,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales,2573678.0,2614209.0,852097.0,299240.0,830339.0,0.0,0.0,1512457.0
12,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales,767361.0,0.0,2242034.0,0.0,0.0,0.0,0.0,129755.0
13,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales,354246.0,2633128.0,2549891.0,262652.0,4056181.0,0.0,0.0,368384.0
14,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae,4315051.0,594047.0,332906.0,15537285.0,1069789.0,0.0,12222.0,881053.0
15,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae,2805754.0,1313858.0,0.0,0.0,0.0,466505.0,0.0,680411.0
16,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Solirubrobacterales|f__Solirubrobacterales_unclassified,2573678.0,2614209.0,852097.0,299240.0,830339.0,0.0,0.0,1512457.0
17,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae,1108455.0,1134812.0,0.0,29699.0,0.0,0.0,0.0,3764583.0
18,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae,1105903.0,1430472.0,0.0,0.0,0.0,0.0,0.0,541925.0
19,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae,1089861.0,0.0,1329231.0,90075.0,868965.0,0.0,0.0,700682.0
20,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae,1033319.0,341430.0,294414.0,950217.0,0.0,0.0,0.0,0.0
21,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae,1032191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae,835190.0,524876.0,0.0,183246.0,64553.0,0.0,0.0,1028050.0
23,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae,767361.0,0.0,2242034.0,0.0,0.0,0.0,0.0,129755.0
24,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae,354246.0,2633128.0,2549891.0,262652.0,4056181.0,0.0,0.0,368384.0
25,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae,172165.0,309629.0,0.0,0.0,0.0,0.0,0.0,52710.0
26,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae,15930.0,28837.0,0.0,0.0,0.0,0.0,0.0,0.0
27,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax,2805754.0,1313858.0,0.0,0.0,0.0,0.0,0.0,621670.0
28,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioidaceae_noname,2535727.0,0.0,0.0,14657902.0,1069789.0,0.0,12222.0,0.0
29,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides,1263277.0,377462.0,332906.0,364574.0,0.0,0.0,0.0,686406.0
30,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium,1108455.0,1134812.0,0.0,29699.0,0.0,0.0,0.0,3764583.0
31,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Sinorhizobium,1045795.0,1430472.0,0.0,0.0,0.0,0.0,0.0,382223.0
32,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Dermatophilaceae|g__Dermatophilaceae_unclassified,1032191.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas,792845.0,0.0,818599.0,69328.0,615377.0,0.0,0.0,351611.0
34,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobiaceae_unclassified,696805.0,524876.0,0.0,155147.0,0.0,0.0,0.0,1028050.0
35,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Pseudonocardia,694785.0,0.0,294414.0,76144.0,0.0,0.0,0.0,0.0
36,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter,621780.0,0.0,2114023.0,0.0,0.0,0.0,0.0,129755.0
37,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Kribbella,516044.0,216585.0,0.0,514806.0,0.0,0.0,0.0,194647.0
38,k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacteriaceae_unclassified,354246.0,2633128.0,2362998.0,262652.0,3395528.0,0.0,0.0,368384.0
39,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia,297015.0,0.0,510632.0,20745.0,0.0,0.0,0.0,349070.0
40,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Saccharopolyspora,271644.0,341430.0,0.0,0.0,0.0,0.0,0.0,0.0
41,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Streptomycetaceae|g__Streptomyces,172165.0,309629.0,0.0,0.0,0.0,0.0,0.0,52710.0
42,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Brevundimonas,145580.0,0.0,128009.0,0.0,0.0,0.0,0.0,0.0
43,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae|g__Hyphomicrobium,138385.0,0.0,0.0,28096.0,64553.0,0.0,0.0,0.0
44,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Amycolatopsis,66890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Rhizobium,60106.0,0.0,0.0,0.0,0.0,0.0,0.0,159702.0
46,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micromonosporaceae|g__Catelliglobosispora,15930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Variovorax|s__Variovorax_paradoxus,2805754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioidaceae_noname|s__Nocardioidaceae_bacterium_Broad_1,2535727.0,0.0,0.0,14657902.0,1069789.0,0.0,12222.0,0.0
49,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Nocardioides|s__Nocardioides_unclassified,1263277.0,377462.0,332906.0,364574.0,0.0,0.0,0.0,686406.0
50,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae|g__Sinorhizobium|s__Sinorhizobium_unclassified,1045795.0,1430472.0,0.0,0.0,0.0,0.0,0.0,382223.0
51,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae|g__Mesorhizobium|s__Mesorhizobium_unclassified,1035993.0,1134812.0,0.0,29699.0,0.0,0.0,0.0,2853132.0
52,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Rhodopseudomonas|s__Rhodopseudomonas_palustris,792845.0,0.0,516058.0,32579.0,615377.0,0.0,0.0,351611.0
53,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Pseudonocardiaceae|g__Pseudonocardia|s__Pseudonocardia_unclassified,694785.0,0.0,294414.0,76144.0,0.0,0.0,0.0,0.0
54,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae|g__Caulobacter|s__Caulobacter_unclassified,621780.0,0.0,1694269.0,0.0,0.0,0.0,0.0,129755.0
55,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Nocardioidaceae|g__Kribbella|s__Kribbella_unclassified,516044.0,216585.0,0.0,409932.0,0.0,0.0,0.0,194647.0
56,k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae|g__Afipia|s__Afipia_unclassified,297015.0,0.0,510632.0,20745.0,0.0,0.0,0.0,349070.0
