TAXID,Lib4_3,Lib4_7,s_02,Lib3_6,Lib4_6,Lib4_1,Lib4_4,Lib4_8,Lib4_5,Lib4_2,Lib3_9
46125,0,0,0,0,0,0,0,0,0,0,0
72556,0,0,0,0,0,0,0,0,0,0,0
85698,0,0,0,0,0,0,0,0,0,0,0
905,0,0,0,0,0,0,0,0,0,0,0
187327,0,0,0,0,0,0,0,0,0,0,0
106648,0,0,0,0,0,0,0,0,0,0,0
40214,0,0,0,2,0,0,0,1,0,0,0
28090,0,0,0,11,0,0,0,8,899,0,25
40216,0,0,0,38,0,0,0,0,0,0,1
108981,0,0,0,0,0,0,0,0,0,0,0
181487,0,0,0,0,0,0,0,0,0,0,0
55565,0,0,0,0,0,0,0,0,0,0,0
544581,0,0,0,0,0,0,0,0,0,0,0
461393,0,0,0,0,0,0,0,0,0,0,0
1660,6,0,0,0,0,0,1,0,0,0,0
544580,0,0,0,0,0,0,0,0,0,0,0
131111,0,0,0,0,0,0,2,0,0,0,0
103621,0,0,0,0,0,0,0,0,0,0,0
1656,0,0,0,0,0,0,0,0,0,0,0
446660,0,0,0,0,0,0,0,0,0,0,0
310575,0,0,0,0,0,0,0,0,0,0,0
1377,0,5,0,0,0,0,0,68,0,0,0
648,0,0,0,0,0,0,0,0,0,0,0
56946,0,0,0,0,0,0,0,0,0,0,0
732,0,0,0,0,0,0,0,0,0,0,0
739,0,0,1,0,0,0,0,0,0,0,0
147266,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,0,0,0,0,0,0,0
1346502,0,9,0,0,0,0,0,2,0,0,0
239935,0,0,0,0,0,0,0,0,0,0,0
511,0,0,0,4,0,0,0,0,0,0,0
214856,0,0,0,0,0,0,0,0,0,0,0
626932,0,0,0,0,5,0,0,0,0,0,0
328813,0,7,0,0,0,0,0,0,0,0,0
28117,0,52,0,0,0,0,0,0,0,0,0
1288121,1,1,2,0,0,0,11,1,0,0,2
328814,33,82,0,0,0,0,40,0,0,0,0
174709,0,2,0,0,0,0,0,0,0,0,0
419015,13,0,0,0,0,0,0,0,0,0,0
