Sample name	Sample ID	Site	Number of reads (pair 1)	Number of reads (pair 2)
s02	UT30.3	Boomerang	459767358	459767358
Lib3_6	UT2.12	Boomerang	278702949	278702949
Lib3_9	UT43.2	Boomerang	182274727	182274727
Lib4_1	AZ107	Marsh Pass	108548593	108548593
Lib4_2	AZ108	Marsh Pass	152273202	152273202
Lib4_3	AZ110A	Marsh Pass	124607641	124607641
Lib4_4	AZ113	Marsh Pass	255635171	255635171
Lib4_5	AZ116	Marsh Pass	130407778	130407778
Lib4_6	Zape1	Rio Zape	169853426	169853426
Lib4_7	Zape2	Rio Zape	141150064	141150064
Lib4_8	Zape3	Rio Zape	138248288	138248288
Lib4_10	1026.1.4	Boomerang Soil	166432626	166432626
Lib4_11	1043.4.1	Boomerang Soil	205251810	205251810
Lib4_12	3567.1.1	Boomerang Soil	148144251	148144251
